filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_340.nii.gz,0.854,0.910,0.804,0.042,0.022,0.547,0.168,0.093,0.884,0.788,0.961,0.668,0.782,0.916,0.682
BRATS_341.nii.gz,0.868,0.778,0.982,0.741,0.590,0.997,0.360,0.219,0.996,0.838,0.725,0.993,0.840,0.740,0.971
BRATS_342.nii.gz,0.643,0.477,0.983,0.001,0.001,1.000,0.339,0.204,1.000,0.712,0.569,0.950,0.510,0.356,0.900
BRATS_343.nii.gz,0.654,0.565,0.775,0.001,0.001,1.000,0.720,0.563,1.000,0.711,0.781,0.653,0.840,0.726,0.996
BRATS_344.nii.gz,0.832,0.738,0.952,0.001,0.000,1.000,0.347,0.210,1.000,0.930,0.902,0.960,0.837,0.734,0.973
BRATS_345.nii.gz,0.916,0.944,0.889,0.336,0.202,1.000,0.442,0.283,1.000,0.856,0.920,0.801,0.835,0.723,0.988
BRATS_346.nii.gz,0.914,0.890,0.939,0.741,0.672,0.826,0.748,0.600,0.992,0.851,0.929,0.785,0.913,0.857,0.977
BRATS_347.nii.gz,0.866,0.825,0.911,0.001,0.000,1.000,0.853,0.754,0.982,0.804,0.677,0.988,0.726,0.572,0.995
BRATS_348.nii.gz,0.789,0.680,0.938,0.671,0.507,0.991,0.534,0.364,1.000,0.732,0.582,0.985,0.762,0.624,0.978
BRATS_349.nii.gz,0.796,0.681,0.956,0.366,0.224,0.999,0.644,0.475,0.999,0.667,0.620,0.721,0.780,0.655,0.963
BRATS_350.nii.gz,0.372,0.934,0.232,0.001,0.001,1.000,0.539,0.369,1.000,0.240,0.979,0.137,0.812,0.684,0.997
BRATS_351.nii.gz,0.826,0.715,0.978,0.001,0.000,1.000,0.762,0.620,0.989,0.310,0.977,0.184,0.690,0.527,0.999
BRATS_352.nii.gz,0.736,0.618,0.909,0.223,0.146,0.474,0.603,0.489,0.784,0.755,0.650,0.899,0.719,0.593,0.914
BRATS_353.nii.gz,0.741,0.847,0.658,0.189,0.160,0.232,0.439,0.313,0.737,0.729,0.846,0.640,0.695,0.855,0.585
BRATS_354.nii.gz,0.716,0.585,0.924,0.001,0.000,1.000,0.654,0.500,0.945,0.810,0.744,0.890,0.742,0.614,0.936
BRATS_355.nii.gz,0.890,0.859,0.924,0.655,0.723,0.598,0.399,0.531,0.319,0.464,0.864,0.317,0.898,0.860,0.939
BRATS_356.nii.gz,0.876,0.787,0.990,0.374,0.554,0.283,0.649,0.599,0.707,0.678,0.516,0.989,0.854,0.748,0.995
BRATS_357.nii.gz,0.765,0.968,0.633,0.267,0.340,0.220,0.768,0.826,0.717,0.763,0.817,0.716,0.790,0.964,0.670
BRATS_358.nii.gz,0.815,0.768,0.868,0.001,0.000,1.000,0.685,0.522,0.996,0.853,0.865,0.843,0.834,0.788,0.886
BRATS_359.nii.gz,0.856,0.784,0.942,0.002,0.001,1.000,0.721,0.568,0.986,0.754,0.835,0.687,0.794,0.807,0.782
BRATS_360.nii.gz,0.758,0.793,0.727,0.001,0.001,1.000,0.803,0.671,1.000,0.222,0.961,0.125,0.843,0.733,0.991
BRATS_361.nii.gz,0.772,0.629,1.000,0.607,0.459,0.898,0.819,0.693,1.000,0.525,0.873,0.375,0.778,0.637,0.999
